date,open,high,low,close,volume
2024-01-02,0.62950000,0.64050000,0.62130000,0.62460000,371069494.00000000
2024-01-03,0.62450000,0.63940000,0.50000000,0.58230000,1063513320.00000000
2024-01-04,0.58230000,0.59380000,0.56920000,0.58680000,384638363.00000000
2024-01-05,0.58680000,0.58850000,0.55300000,0.57570000,383229345.00000000
2024-01-06,0.57580000,0.57580000,0.55680000,0.56790000,166749051.00000000
2024-01-07,0.56800000,0.57300000,0.54540000,0.55150000,226717559.00000000
2024-01-08,0.55150000,0.58210000,0.54420000,0.57760000,520587965.00000000
2024-01-09,0.57760000,0.57930000,0.55310000,0.56690000,454568370.00000000
2024-01-10,0.56700000,0.61500000,0.54890000,0.60080000,565711997.00000000
2024-01-11,0.60080000,0.62400000,0.58560000,0.60190000,513518254.00000000
2024-01-12,0.60190000,0.60350000,0.55150000,0.56990000,462016509.00000000
2024-01-13,0.56990000,0.57750000,0.56300000,0.57470000,144723019.00000000
2024-01-14,0.57460000,0.59320000,0.57170000,0.57630000,188471401.00000000
2024-01-15,0.57630000,0.58950000,0.56870000,0.57570000,267118552.00000000
2024-01-16,0.57570000,0.57970000,0.56590000,0.57570000,250036650.00000000
2024-01-17,0.57580000,0.57630000,0.56110000,0.56850000,229435711.00000000
2024-01-18,0.56850000,0.56900000,0.54300000,0.55200000,286860737.00000000
2024-01-19,0.55200000,0.55370000,0.52160000,0.54430000,412467369.00000000
2024-01-20,0.54430000,0.55510000,0.53900000,0.55340000,190027866.00000000
2024-01-21,0.55340000,0.55520000,0.54510000,0.54640000,115018674.00000000
2024-01-22,0.54640000,0.54970000,0.51690000,0.52750000,340622198.00000000
2024-01-23,0.52750000,0.53180000,0.49620000,0.51830000,468522571.00000000
2024-01-24,0.51830000,0.51940000,0.51100000,0.51810000,256315507.00000000
2024-01-25,0.51820000,0.51820000,0.50370000,0.51380000,251423038.00000000
2024-01-26,0.51390000,0.53680000,0.50840000,0.53230000,345499020.00000000
2024-01-27,0.53220000,0.53490000,0.52620000,0.53030000,109437595.00000000
2024-01-28,0.53040000,0.53550000,0.52110000,0.52410000,133344725.00000000
2024-01-29,0.52420000,0.54000000,0.51930000,0.53520000,315810144.00000000
2024-01-30,0.53510000,0.53930000,0.50710000,0.51070000,551143127.00000000
2024-01-31,0.51060000,0.51440000,0.48530000,0.50330000,485421774.00000000
2024-02-01,0.50330000,0.51070000,0.49000000,0.50580000,339711167.00000000
2024-02-02,0.50570000,0.51420000,0.49870000,0.51050000,362229325.00000000
2024-02-03,0.51060000,0.52700000,0.50600000,0.51860000,268503943.00000000
2024-02-04,0.51870000,0.51920000,0.50030000,0.50320000,156461025.00000000
2024-02-05,0.50310000,0.51430000,0.49690000,0.50690000,316744221.00000000
2024-02-06,0.50690000,0.51120000,0.49810000,0.50500000,296361361.00000000
2024-02-07,0.50500000,0.51550000,0.49930000,0.51380000,337065844.00000000
2024-02-08,0.51380000,0.52000000,0.51010000,0.51470000,319558939.00000000
2024-02-09,0.51460000,0.52820000,0.51400000,0.52620000,381663993.00000000
2024-02-10,0.52620000,0.52820000,0.51860000,0.52390000,136051851.00000000
2024-02-11,0.52390000,0.53600000,0.52160000,0.52610000,218992618.00000000
2024-02-12,0.52620000,0.53800000,0.51430000,0.53150000,383946428.00000000
2024-02-13,0.53150000,0.53380000,0.51400000,0.52470000,398803382.00000000
2024-02-14,0.52460000,0.54180000,0.52030000,0.53780000,402071120.00000000
2024-02-15,0.53780000,0.57690000,0.53700000,0.56220000,640584098.00000000
2024-02-16,0.56220000,0.57910000,0.55230000,0.56430000,522111567.00000000
2024-02-17,0.56430000,0.56550000,0.53920000,0.54960000,254033578.00000000
2024-02-18,0.54960000,0.56250000,0.54710000,0.55710000,199644484.00000000
2024-02-19,0.55700000,0.56790000,0.55380000,0.56260000,361659945.00000000
2024-02-20,0.56260000,0.57510000,0.54300000,0.56220000,577494529.00000000
2024-02-21,0.56220000,0.56290000,0.53260000,0.54910000,443537294.00000000
2024-02-22,0.54900000,0.55170000,0.53660000,0.54100000,363824441.00000000
2024-02-23,0.54100000,0.54370000,0.52510000,0.53420000,435074448.00000000
2024-02-24,0.53420000,0.54810000,0.53130000,0.54500000,201672485.00000000
2024-02-25,0.54490000,0.54890000,0.54200000,0.54250000,200338025.00000000
2024-02-26,0.54240000,0.55280000,0.52880000,0.55060000,442051388.00000000
2024-02-27,0.55060000,0.59760000,0.54760000,0.58610000,852720045.00000000
2024-02-28,0.58620000,0.60590000,0.53000000,0.57500000,1038133713.00000000
2024-02-29,0.57490000,0.62600000,0.56690000,0.58670000,1323123117.00000000
2024-03-01,0.58680000,0.60340000,0.58290000,0.60130000,545783016.00000000
2024-03-02,0.60130000,0.65010000,0.59930000,0.64420000,891150692.00000000
2024-03-03,0.64420000,0.64460000,0.59000000,0.62710000,626556050.00000000
2024-03-04,0.62710000,0.66600000,0.61500000,0.64770000,1053563753.00000000
2024-03-05,0.64760000,0.66850000,0.53860000,0.59120000,1554937673.00000000
2024-03-06,0.59130000,0.62400000,0.57540000,0.61210000,832599729.00000000
2024-03-07,0.61210000,0.63940000,0.60640000,0.62700000,789389082.00000000
2024-03-08,0.62710000,0.63380000,0.60000000,0.62000000,648298999.00000000
2024-03-09,0.62000000,0.63230000,0.61580000,0.61970000,399105613.00000000
2024-03-10,0.61980000,0.62780000,0.59650000,0.60800000,431213931.00000000
2024-03-11,0.60800000,0.74400000,0.58300000,0.72300000,2035920643.00000000
2024-03-12,0.72300000,0.73320000,0.65850000,0.68800000,1164823272.00000000
2024-03-13,0.68800000,0.70260000,0.66840000,0.68910000,629718012.00000000
2024-03-14,0.68910000,0.70770000,0.63780000,0.66900000,866913230.00000000
2024-03-15,0.66900000,0.67590000,0.59600000,0.63420000,1046569627.00000000
2024-03-16,0.63410000,0.64790000,0.59150000,0.60310000,637944105.00000000
2024-03-17,0.60300000,0.62490000,0.58690000,0.61910000,520417354.00000000
2024-03-18,0.61910000,0.66860000,0.59460000,0.64530000,868146942.00000000
2024-03-19,0.64530000,0.64890000,0.57120000,0.58450000,1036258366.00000000
2024-03-20,0.58450000,0.61870000,0.56810000,0.61070000,802805428.00000000
2024-03-21,0.61080000,0.65460000,0.59720000,0.64040000,799317843.00000000
2024-03-22,0.64030000,0.64540000,0.59850000,0.61150000,580029104.00000000
2024-03-23,0.61150000,0.63290000,0.60320000,0.61670000,278695151.00000000
2024-03-24,0.61680000,0.63580000,0.61330000,0.63250000,304667124.00000000
2024-03-25,0.63260000,0.66290000,0.62630000,0.64060000,598260361.00000000
2024-03-26,0.64050000,0.65300000,0.62500000,0.63170000,483920076.00000000
2024-03-27,0.63170000,0.63490000,0.60550000,0.61180000,576105586.00000000
